Course ID,Offer Nbr,Term,Session,Section,Crse Attr,CrsAtr Val,Term.1,Subject,Catalog Nbr,description,subject,course
1794,1,2360,1,38,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,107,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,41,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,54,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,136,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,42,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,45,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,46,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,56,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,62,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,170,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,171,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,17,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,99,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,21,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,9,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,16,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,120,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,10,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,90,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,89,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,87,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,11,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,86,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,85,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,12,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,13,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,73,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,84,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,76,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,83,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,92,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,77,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,91,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,82,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,81,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1795,1,2360,1,25,MSA,MSA,2360,MATH,116,Calculus II,MAT,MAT 116
1795,1,2360,1,12,MSA,MSA,2360,MATH,116,Calculus II,MAT,MAT 116
1795,1,2360,1,11,MSA,MSA,2360,MATH,116,Calculus II,MAT,MAT 116
1795,1,2360,1,10,MSA,MSA,2360,MATH,116,Calculus II,MAT,MAT 116
